file_size,num_sections,machine_type,timestamp,subsystem,file_characteristics,file_entropy,section_entropy_mean,section_entropy_max,section_entropy_min,section_entropy_std,high_entropy_sections_count,num_imports,dll_count,imports_by_ordinal_count,suspicious_api_count,num_exports,num_delay_imports,address_of_entry_point,size_of_code,size_of_image,size_of_headers,checksum_stored,code_to_image_ratio,section_raw_size_mean,section_virtual_size_mean,aslr_enabled,dep_enabled,has_signature,checksum_mismatch,has_wx_section,has_debug_directory,has_resource_directory,has_tls_directory,has_relocations,resource_size,has_pdb,has_tls_callbacks,overlay_size,timestamp_age_years,code_section_ratio,mean_vr_raw_ratio,non_standard_section_count,has_packer_signature,Label
400848,6,34404,1343337794,3,34,6.2058,4.562,6.4246,2.8337,1.1845,0,235,10,3,6,0,0,157032,260096,413696,1024,455158,0.6287,64000.0,66002.1667,1,1,0,0,0,1,1,0,1,1488,0,0,15824,13.84,0.6285,1.1939,0,0,0
54264,11,34404,12671008,2,39,5.7757,2.4066,5.7855,0.0,2.1429,0,139,12,0,2,0,0,5328,12288,65536,1024,102817,0.1875,3118.5455,3049.0909,0,0,0,0,0,0,1,1,0,5000,0,1,18936,56.0,0.1815,0.6385,3,0,0
38400,11,34404,2687016992,3,558,5.8244,2.8299,5.9596,0.0,2.1992,0,91,4,0,1,10,0,5376,19456,69632,1024,78970,0.2794,3397.8182,3380.5455,0,0,0,0,0,0,0,1,1,0,0,1,0,0.0,0.2747,0.6399,2,0,0
65536,5,332,90950,3,783,6.3959,3.1572,6.2779,0.0,2.6699,0,67,2,0,1,0,0,4096,48640,94208,1024,92283,0.5163,12902.4,15171.2,0,0,0,0,0,0,0,0,0,0,0,0,0,56.4,0.5149,0.6975,1,0,0
74936,8,332,2025535247,2,33166,6.5079,3.666,6.551,0.0,2.3881,0,82,3,0,3,6,0,4096,45056,90112,1024,113539,0.5,8384.0,10752.0,0,0,0,0,0,0,1,1,1,5120,0,1,6328,0.0,0.5,3.875,0,0,0
333680,5,34404,1484853358,2,1059,6.4891,5.2955,6.9576,3.2315,1.3484,0,111,3,0,2,5,0,29468,173056,352256,1024,398673,0.4913,65126.4,66606.2,0,1,0,0,0,1,1,0,0,71816,0,0,7024,9.35,0.4901,1.2237,0,0,0
39936,9,34404,55788,3,559,5.6328,2.606,6.0238,0.0,2.1541,0,134,5,0,1,0,0,5376,23552,69632,1024,98804,0.3382,4323.5556,4406.6667,0,0,0,0,0,0,0,1,0,0,0,1,0,56.4,0.3373,0.6745,2,0,0
35272,6,34404,1343268642,3,34,6.5447,2.9308,6.1194,0.2623,2.0724,0,76,7,0,0,0,0,12080,10240,36864,1024,93363,0.2778,3157.3333,3166.6667,1,1,0,0,0,1,1,0,1,3848,1,0,15304,13.84,0.2705,1.2043,0,0,0
537432,4,332,1275478496,2,258,5.7266,4.6291,6.4604,2.3298,1.529,0,135,6,1,2,0,0,32238,72704,548864,1024,571489,0.1325,132608.0,134485.5,1,1,0,0,0,1,1,0,1,446380,0,0,5976,15.99,0.1316,1.5014,0,0,0
125904,6,332,1343342327,2,291,6.531,4.1333,6.2221,0.0,1.9963,0,238,10,16,2,0,0,46557,90112,131072,1024,190863,0.6875,18176.0,18123.3333,0,1,0,0,0,1,1,1,0,1496,0,1,15824,13.84,0.6823,0.936,1,0,0
83456,5,332,1436499235,2,258,6.036,4.8464,6.5044,2.176,1.5062,0,128,8,0,1,0,0,71472,70144,94208,1024,105383,0.7446,16486.4,16602.8,1,1,0,0,0,1,1,0,1,3488,0,0,0,10.88,0.7413,1.6626,0,0,0
140800,5,332,1438937247,2,258,5.8779,5.158,6.6835,3.6485,1.1849,0,70,3,0,2,0,0,8710,53248,163840,1024,0,0.325,27955.2,29349.4,1,1,0,0,0,1,1,0,1,50288,0,0,0,10.81,0.3231,1.3014,0,0,0
80896,6,34404,1343265099,3,34,6.0494,3.9334,6.4177,1.7925,1.4829,0,102,9,4,3,0,0,27920,64512,102400,1024,138143,0.63,13312.0,14630.0,1,1,0,0,0,1,1,0,1,1784,0,0,0,13.84,0.6256,1.19,0,0,0
149736,11,34404,32884768,2,39,5.2383,2.6158,6.0139,0.0,2.2091,0,261,15,0,2,0,0,5328,50176,163840,1024,191749,0.3063,11264.0,11479.6364,0,0,0,0,0,0,1,1,0,5000,0,1,24808,55.36,0.304,0.6817,3,0,0
26112,9,34404,16900,3,559,5.2732,2.3969,5.9364,0.0,2.0238,0,91,3,0,1,0,0,5376,13312,57344,1024,84442,0.2321,2787.5556,2805.3333,0,0,0,0,0,0,0,1,0,0,0,1,0,56.4,0.2266,0.6223,2,0,0
53704,5,332,1343345674,2,290,6.3653,4.5772,5.5706,2.8327,0.9975,0,311,6,225,2,0,0,17951,19456,53248,1024,55310,0.3654,7372.8,7359.6,1,1,0,0,0,1,1,0,1,5988,0,0,15816,13.84,0.3632,1.1017,0,0,0
2109728,7,34404,1499373826,3,34,6.4088,4.9,6.3927,1.9424,1.4076,0,253,6,0,2,4,0,1280808,1416704,2306048,1024,2134718,0.6143,300251.4286,326315.4286,1,1,0,0,0,1,1,0,1,920,0,0,6944,8.89,0.6141,1.4059,1,0,0
53888,11,34404,19453984,2,39,6.1579,2.6117,6.1033,0.0,2.1741,0,121,10,0,2,0,0,5328,15872,69632,1024,117478,0.2279,3165.0909,3165.8182,0,0,0,0,0,0,1,1,0,5016,0,1,18048,55.79,0.2258,0.6211,3,0,0
209920,5,332,222386,3,783,6.5424,3.372,6.4202,0.0,2.8106,0,118,3,0,1,0,0,4096,178688,225280,1024,224372,0.7932,41779.2,42355.2,0,0,0,0,0,0,0,0,0,0,0,0,0,56.4,0.7925,0.7411,1,0,0
43568,11,34404,0,2,39,6.0735,2.4623,5.8772,0.0,2.1357,0,81,7,0,2,0,0,5328,9728,61440,1024,89625,0.1583,2420.3636,2370.9091,0,0,0,0,0,0,1,1,0,5016,0,1,15920,56.4,0.1514,0.5845,3,0,0
106328,4,332,1267348466,2,258,6.4619,5.5351,6.6694,4.1888,1.0368,0,162,6,5,3,0,225,61686,75776,114688,1024,118056,0.6607,24832.0,25027.25,1,0,0,0,0,1,1,0,1,12804,0,0,5976,16.25,0.6565,1.0988,0,0,0
39424,6,332,1436498720,2,258,6.1334,3.6962,6.3311,0.296,2.477,0,100,13,1,1,0,6,29472,29184,57344,1024,74183,0.5089,6400.0,6171.3333,1,1,0,0,0,1,1,0,1,2328,0,0,0,10.89,0.5012,0.9327,1,0,0
80896,7,34404,1436498063,3,34,4.9845,3.289,6.228,0.2866,2.0855,0,100,25,0,1,0,4,29728,28160,98304,1024,125948,0.2865,11410.2857,11418.0,1,1,0,0,0,1,1,0,1,1824,0,0,0,10.89,0.285,1.2859,1,0,0
387152,4,332,1334122691,2,258,6.3217,4.8702,6.4091,4.1344,0.9191,0,407,12,12,4,1,2,213080,316416,409600,1024,390912,0.7725,94848.0,98709.5,1,1,0,0,0,1,1,0,1,16720,0,0,6736,14.13,0.7718,1.3509,0,0,0
1471512,5,34404,1470902032,2,35,5.5456,4.7072,6.2874,3.1412,1.2403,0,442,18,17,4,0,4,555616,718336,1486848,1024,1481791,0.4831,288768.0,294471.2,0,0,0,0,0,1,1,0,0,417976,0,0,26648,9.79,0.4828,1.2305,0,0,0
59392,6,34404,1436498697,2,34,5.817,4.0518,6.135,2.1318,1.2669,0,138,13,7,1,0,0,33216,33280,90112,1024,93738,0.3693,9728.0,11575.3333,1,1,0,0,0,1,1,0,1,5208,0,0,0,10.89,0.368,4.8694,0,0,0
214528,9,34404,225908,3,559,5.8403,2.9707,5.634,0.0,2.2179,0,266,3,0,1,0,0,5376,162304,241664,1024,220485,0.6716,23722.6667,24018.2222,0,0,0,0,0,0,0,1,0,0,0,1,0,56.4,0.6706,0.7501,2,0,0
29136,3,332,1343345138,3,258,6.7487,3.4326,5.6585,0.0815,2.4118,0,1,1,0,0,0,0,17758,9728,40960,512,33684,0.2375,4266.6667,4010.6667,1,1,0,0,0,1,1,0,1,2448,0,0,15824,13.84,0.2337,0.6546,0,0,0
1588224,6,34404,1477377468,2,34,6.6246,5.4076,6.8118,2.4113,1.4267,0,478,15,22,2,1,0,973760,985600,1609728,1024,1634015,0.6123,264533.3333,265066.1667,1,1,0,0,0,1,1,0,1,392368,0,0,0,9.59,0.6122,1.0098,0,0,0
59904,9,34404,80020,3,559,6.0006,2.8192,6.2417,0.0,2.2905,0,103,3,0,2,0,0,5376,41984,90112,1024,87296,0.4659,6542.2222,6932.0,0,0,0,0,0,0,0,1,0,0,0,1,0,56.4,0.4618,0.7041,2,0,0
100336,6,34404,1343339607,2,34,6.205,4.1052,6.231,2.0647,1.4422,0,104,4,0,2,0,0,14616,50176,106496,1024,111935,0.4712,13909.3333,15248.1667,1,1,0,0,0,1,1,0,1,1540,0,0,15856,13.84,0.47,1.2416,0,0,0
41368,11,34404,131072,3,39,6.0266,2.3888,5.8299,0.0,2.0847,0,65,8,0,2,0,0,5376,8704,61440,1024,86406,0.1417,2280.7273,2202.1818,0,0,0,0,0,0,1,1,0,5008,0,1,15256,56.4,0.1363,0.569,3,0,0
